URL,productImage ,imageBack,Headline,Description ,price,rating
https://www.ikea.com/rs/sr/p/alhult-sto-bez-smeda-00597919/,https://www.ikea.com/rs/sr/images/products/alhult-sto-bez-smeda__1403289_pe969280_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/alhult-sto-bez-smeda__1447073_pe988941_s5.jpg?f=xxs,ÅLHULT,"Sto, bež/smeđa, 120x80 cm",14.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/vihals-produzivi-sto-zelena-30592755/,https://www.ikea.com/rs/sr/images/products/vihals-produzivi-sto-zelena__1370475_pe958748_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/vihals-produzivi-sto-zelena__1414855_pe974933_s5.jpg?f=xxs,VIHALS,"Produživi sto, zelena, 120/180x74 cm",9.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/alhult-produzivi-sto-crna-smeda-20600789/,https://www.ikea.com/rs/sr/images/products/alhult-produzivi-sto-crna-smeda__1403275_pe969282_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/alhult-produzivi-sto-crna-smeda__1447078_pe988944_s5.jpg?f=xxs,ÅLHULT,"Produživi sto, crna/smeđa, 120/170x80 cm",19.999,Pregled: 4.4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/knarrevik-nocni-stocic-crna-00576318/,https://www.ikea.com/rs/sr/images/products/knarrevik-nocni-stocic-crna__1255280_pe924479_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/knarrevik-nocni-stocic-crna__1295970_pe935630_s5.jpg?f=xxs,KNARREVIK,"Noćni stočić, crna, 37x28 cm",1.199,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/vihals-sto-bela-bela-s59578508/,https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1414865_pe974917_s5.jpg?f=xxs,VIHALS,"Sto, bela/bela, 74x74 cm",6.499,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/mariedamm-sto-tamnosiva-50441510/,https://www.ikea.com/rs/sr/images/products/mariedamm-sto-tamnosiva__0799242_pe767513_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/mariedamm-sto-tamnosiva__1274383_pe930265_s5.jpg?f=xxs,MARIEDAMM,"Sto, tamnosiva, 105 cm",24.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/norberg-zidni-preklopni-sto-bela-30180504/,https://www.ikea.com/rs/sr/images/products/norberg-zidni-preklopni-sto-bela__0736622_pe740674_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/norberg-zidni-preklopni-sto-bela__0870365_pe653416_s5.jpg?f=xxs,NORBERG,"Zidni preklopni sto, bela, 74x60 cm",5.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/rosentorp-produzivi-sto-bela-80568239/,https://www.ikea.com/rs/sr/images/products/rosentorp-produzivi-sto-bela__1434528_pe983580_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/rosentorp-produzivi-sto-bela__1450993_pe990539_s5.jpg?f=xxs,ROSENTORP,"Produživi sto, bela, 110/155 cm",37.999,Pregled: 4.4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/docksta-sto-bela-bela-s19324995/,https://www.ikea.com/rs/sr/images/products/docksta-sto-bela-bela__0803262_pe768820_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/docksta-sto-bela-bela__1339180_pe948414_s5.jpg?f=xxs,DOCKSTA,"Sto, bela/bela, 103 cm",19.999,Pregled: 4.2 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/bollsidan-postolje-za-laptop-bela-30574370/,https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163780_pe890329_s5.jpg?f=xxs,BOLLSIDAN,"Postolje za laptop, bela, 68x36 cm",8.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/hemnes-nocni-stocic-sivozelena-svetlosmede-bajcovano-50610739/,https://www.ikea.com/rs/sr/images/products/hemnes-nocni-stocic-sivozelena-svetlosmede-bajcovano__1420973_pe977593_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/hemnes-nocni-stocic-sivozelena-svetlosmede-bajcovano__1431686_pe982557_s5.jpg?f=xxs,HEMNES,"Noćni stočić, sivozelena/svetlosmeđe bajcovano, 46x35 cm",5.999,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
